amount,hour_of_day,Class
46.92680899768591,22,0
301.0121430917521,3,0
131.67456935454493,17,0
456.4712768879766,4,1
16.962487046234628,15,0
16.959629191460518,13,0
5.983876860868068,18,0
201.12308644799396,13,0
91.90821536272645,8,0
123.12500617045903,5,0
2.0799307999138623,16,0
350.3557475158312,18,0
178.6429543354675,11,0
23.8687625248947,3,0
20.067898874966335,15,0
20.261142283225706,10,0
36.27537294604771,21,0
74.39278308608544,3,0
56.55370667803366,16,0
34.42229925539415,7,0
94.63708738997987,13,0
15.023452872733866,1,0
34.551551200240226,10,0
45.6277218220847,10,0
60.893468785977504,23,0
153.7936011030912,21,0
22.273586212869027,23,0
72.20291550331277,5,0
89.75047213097605,20,0
4.756384975640855,20,0
93.533302064961,13,0
18.696125197741644,9,0
6.726393087930424,7,0
297.3687793506931,6,0
337.06303424611724,7,0
165.23315728128767,7,0
36.32878599687583,22,0
10.277731500250624,1,0
115.27507630986618,15,0
58.009084258539836,8,0
13.015223395444863,12,0
68.35472281341501,22,0
3.4993721443479084,11,0
240.04228873930236,21,0
29.94577768406861,16,0
108.62557985649804,1,0
37.354658165762366,12,0
73.41108959092286,0,0
79.12237979817975,18,0
20.438859950790576,10,0
349.28071327362267,4,0
149.22453771381407,0,0
280.50944192915824,19,0
225.21519975341965,12,0
91.1054412383275,7,0
254.9435379269405,5,0
9.265545895311563,16,0
21.813469463126744,11,0
4.628196568683196,0,0
39.35320868030868,2,0
49.21302917942186,13,0
31.65604432088257,7,0
176.45578652409338,10,0
44.12269995298701,13,0
32.98028401342492,7,0
78.2407083207746,2,0
15.189814782062886,6,0
162.04835957747312,18,0
38.73793440565451,3,1
433.41463395873194,15,0
147.94837762415114,12,0
22.153944050588596,19,0
0.5537420375935475,18,0
168.9896777486126,4,0
122.70959073870446,22,0
130.5662908787999,4,0
147.52145260435134,19,0
7.692926551379635,23,0
44.38926724162325,3,0
12.315010460444965,1,0
198.85295716582226,12,0
97.63011917123741,15,0
40.1818801251301,21,0
6.566806580478289,1,0
37.24883504103537,18,0
39.331421318413135,16,0
130.7875783957741,4,0
101.488935892602,17,0
218.22519124015147,22,0
63.90661333763098,20,0
12.73723936155019,17,0
124.91263443165994,7,0
143.0392753076864,14,0
82.38874948858287,12,0
147.38899667213644,12,0
68.0814731510278,15,0
73.9678838777267,21,0
55.781419390842736,19,0
2.574777399011373,12,0
11.416743519186584,19,0
3.1933681293053824,1,0
101.17295509275495,2,0
37.73967087950999,14,0
71.04371771341901,22,0
238.12655298459754,18,0
28.673882298329833,12,0
52.82819748826726,4,0
140.87491475385835,21,0
25.980515691739402,5,0
8.010427855017637,13,0
34.21403038870571,3,0
17.580835850006284,21,0
265.4950085880625,18,0
165.08870804845694,22,0
100.34941905205311,6,0
205.1519730520813,3,0
162.79689407405564,1,0
20.649547635863907,6,0
223.0813405235561,2,0
77.5099901966172,14,0
164.73482913035662,0,0
226.42426492862313,1,0
38.27307164183185,9,0
11.659216012385084,15,0
25.868674613938136,14,0
55.70576927486144,23,0
170.3829726638945,14,0
197.13449718798333,13,0
0.6976409181650647,21,0
71.48761593385558,13,0
54.02733209186713,5,0
25.11673382758245,13,0
12.768039154564681,16,0
41.190857986243245,17,0
286.31211226911495,19,0
39.03838028814744,18,0
73.1452805760152,16,0
121.40869768808548,15,0
45.197449896696234,7,0
356.77981382916994,6,0
328.2009864541398,19,0
29.006129499220528,11,0
68.76592784638473,8,0
35.79304600790468,13,0
33.52496763810817,19,0
3.758447776552253,0,0
94.04920709825932,9,0
69.85196328296385,16,0
5.285108738039248,16,0
32.662592101036935,16,0
238.88609510893403,3,0
27.386055214207705,16,0
15.653086098546975,17,0
67.22721094736363,19,0
424.40369826152596,22,0
27.71448135597262,1,0
111.51550102972934,7,0
143.3887626239463,12,0
27.133317233580577,22,0
130.2748928492316,21,0
45.8522799264304,19,0
100.05037477317713,21,0
100.38378271376382,14,0
76.73852499523488,19,0
9.462915881162095,22,0
180.3644794246297,8,0
38.68102936673966,2,0
20.643210660755653,2,0
4.1629759794345205,1,0
89.37784045945834,0,0
113.18517342673489,13,0
1.672694755847062,16,0
71.76305845494883,12,0
25.682414705495766,18,0
103.61243415476919,22,0
19.160422253913374,14,0
117.4212527567719,13,0
48.89587009811018,1,0
276.0343817804307,6,0
14.794441343927895,16,0
41.713243399517175,17,0
12.044428503699642,5,0
258.61903971507235,20,0
209.8333707160994,7,0
29.83273700614889,1,0
107.87627390439145,0,0
169.94840726392212,15,0
81.01323606865081,6,0
75.42794101939461,21,0
27.687704543790314,23,0
9.772614047494073,10,0
227.51232251945228,14,0
230.67744276484268,12,0
100.26699194828848,23,0
41.40465098113239,1,0
42.95676158116439,13,0
129.4465429727118,23,0
227.40973491072523,5,0
218.1132569396613,8,0
151.3562191930903,6,0
102.7310693567705,17,0
8.789172619608406,23,0
17.62942146834115,8,0
228.82305001775057,22,0
93.24939469655895,3,0
0.9239605610994409,8,0
10.699690143594932,3,0
108.9162387290241,11,0
0.5074437051797003,3,0
17.531581610419906,23,0
79.56978461389316,19,0
117.73152866548126,13,0
105.54414821352486,23,0
25.39498673080245,23,0
124.54172888985389,6,0
27.082375905280593,12,0
39.363490891808446,21,0
137.23575516657905,7,0
104.87738143027681,22,0
189.1956077463401,4,0
107.18132881697625,11,0
84.00443055872574,12,0
9.835706144841048,19,0
45.84163072070201,13,0
30.816014785883116,17,0
27.970020366242128,23,0
361.23094061629257,19,0
49.938749704002376,3,0
222.6055211248523,20,0
99.73343857364831,17,0
158.38252526883997,6,0
69.84353243887705,14,0
86.0155902641585,20,0
67.82934333416935,5,0
21.72148953252385,15,0
128.1761803065804,19,0
32.957736836626296,23,0
2.4616481080688613,7,0
103.69687862952739,20,0
19.493357022482268,15,0
282.1083147273303,21,0
307.75624127880235,15,0
246.35098846338414,2,0
46.228739649736674,16,0
1.5577315371944382,8,0
263.552345733189,2,0
55.89382770530613,19,0
340.0842016122056,6,0
331.37354761302055,17,0
191.7387017179419,11,0
34.87760681721603,18,0
243.14596604934678,15,1
190.47266524780798,21,0
38.11462314307171,23,0
18.57186162957548,16,0
81.37369920602278,19,0
275.1293470807042,14,0
119.08255977579371,0,0
84.41123364356555,1,0
10.222819734932289,7,0
95.45307155177177,21,0
461.05697478463173,1,0
15.092058664226416,18,0
73.04953249815037,8,0
209.86086379007943,8,0
135.003424835367,12,0
119.4074425301673,5,0
121.22875562244899,14,0
44.549234231494914,18,0
34.75620842670952,20,0
165.73745072597123,14,0
166.13281990870288,17,0
